,MTS_Alyona_acly3028_1,MTS_Alyona_acly3028_2,MTS_Alyona_acly3028_3,MTS_Alyona_acly3028_etoh,MTS_Alyona_renilla_1,MTS_Alyona_renilla_2,MTS_Alyona_renilla_3,MTS_Alyona_renilla_etoh,MTS_Alyona_acly4080_1,MTS_Alyona_acly4080_2,MTS_Alyona_acly4080_3,MTS_Alyona_acly4080_etoh,MTS_Blank_01,MTS_Blank_02,MTS_Blank_03,MTS_Blank_04,MTS_Blank_05,MTS_Blank_06,MTS_Blank_07,MTS_Blank_08
Palmitate_0,0.372865006455966,0.362343600779995,0.359485829968567,0.244990420228644,0.297606025587677,0.311645326150973,0.30314679605525,0.283420817060386,0.428173984292366,0.431373707403867,0.439367423681467,0.344159750219861,0.999251823307862,0.979015210698999,0.988792465163943,0.671183449652785,0.676071783390373,0.620051064305305,0.670615263322555,0.624439468175517
Palmitate_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015484345814414,0.011207534836057,0,0,0.002541388106101,0,0
Palmitate_2,0.10074133156865,0.098875714565487,0.104408121494077,0.005360903277346,0.001569028798377,0.001962614893345,0.002781329951654,0.00267596175585,0.022985982300105,0.024213603167293,0.02478871663676,0.003476212782802,0,0,0,0.001757048791385,0.002584391896541,0.028039262014725,0.005630860007036,0.020162720777692
Palmitate_3,0.003829222720622,0.005555098679084,0.005054637824324,0.001043617922822,0.001132278846662,0.000912089642195,0.00077281676084,0.000703520782615,0.003243828241804,0.00320451063705,0.002826690845014,0.000415216556421,0,0,0,0,0,0,0,0
Palmitate_4,0.105556910444213,0.102839744563608,0.100658311387401,0.016212573198524,0.010994221033423,0.010418012518866,0.011762863938139,0.011277489164294,0.057000630721286,0.057731830614742,0.055349059039052,0.012860364725222,0,0,0,0.014261069986006,0.012243201598449,0.030576843552431,0.035986510260737,0.02833151434307
Palmitate_5,0.008462331520415,0.009708966516571,0.0108603123806,0.006250402759235,0.00460085485335,0.004590247431349,0.004530062661897,0.004209575467428,0.008794748117913,0.009006965380384,0.006870847247649,0.003728036774789,0,0,0,0,0,0.004160572127347,0,0.004973548654632
Palmitate_6,0.090666152681221,0.089157500983134,0.08535614789349,0.048310347632502,0.037543452342122,0.04010001489931,0.04202261479039,0.040613157122255,0.08401805746398,0.087120544496971,0.084658235926505,0.0399574831505,0,0,0,0.039375547684521,0.014419334659821,0.050791035900637,0.038904911213632,0.036846281236067
Palmitate_7,0.0123174763015,0.013145894405779,0.014815767315032,0.017456299570566,0.013476582245466,0.013603072285688,0.013926946308583,0.014308700068224,0.013904674647507,0.013534725204067,0.014152081471224,0.011968044066981,8.50E-14,0,0,0.004262180693182,0.005930497614832,0.00615076115469,0.004641727035253,0.005669928524229
Palmitate_8,0.087823498769053,0.084479403766653,0.085587857849431,0.101978065865219,0.091164747698445,0.090096072283246,0.08637832902004,0.093399489849253,0.105751725253704,0.099737184735584,0.101413058747247,0.089777064019142,2.51E-12,1.85E-11,0,0.060917152997623,0.059810199753881,0.059773889870388,0.049834877008779,0.034400175395709
Palmitate_9,0.013522441502236,0.014430699889397,0.014931149881329,0.030388234210094,0.028529884938063,0.029718516725771,0.028599201150701,0.030781408940006,0.016552487400637,0.017118675823975,0.018135565991604,0.026356941511781,7.85E-11,5.77E-10,0,0.006913932478644,0.005732458532587,0.007098944099005,0.014072433212846,0.019456768162182
Palmitate_10,0.081895985481858,0.084550609035039,0.085139411600347,0.158439232815476,0.154407370086092,0.150254911081588,0.146212237112921,0.157850111452967,0.108243261673664,0.105445166839507,0.104450817506897,0.144599812760997,0,0,0,0.055220959361032,0.077897448194868,0.054409870066854,0.046523424887133,0.054297356810041
Palmitate_11,0.013057544112778,0.014906631519748,0.015095243464636,0.038273877172789,0.038312402282012,0.03505518666007,0.037844873106643,0.034751245852295,0.014301725050206,0.016127204853919,0.016373298472412,0.032628338396316,0,0,0,0.031213155789921,0.015489433631835,0.016729362293112,0.0105153151578,0.026966184011077
Palmitate_12,0.058962417287465,0.06703811367326,0.064695771463761,0.165739190686474,0.16243566616333,0.160163620453752,0.16467040915909,0.158809006883173,0.079413943323587,0.079656651081862,0.074026699326132,0.145405188902808,0.000748176611007,0.005500442890807,0,0.050945804047411,0.060600377176383,0.053792417359849,0.049420384754824,0.054789312757033
Palmitate_13,0.007890189688806,0.008561195710029,0.008836721573404,0.027272317153786,0.027583429924256,0.024027206279064,0.025422103076568,0.026191510274567,0.009155990634688,0.00831973439462,0.007522994280622,0.024044714506844,0,0,0,0.008443655699252,0.009884466672173,0.006812132762621,0.012075577593682,0.016522633006838
Palmitate_14,0.032270278739503,0.033970168984863,0.034059078860175,0.099505674163941,0.094428987066062,0.092222549070719,0.097208941397822,0.101292071149017,0.035785802479924,0.037007652309733,0.040010975395626,0.089084496307848,0,0,0,0.04642169233074,0.05023230010758,0.048725339453974,0.052524478177123,0.054052440452465
Palmitate_15,0.002171873675854,0.002008701470439,0.002494992017921,0.008757458186137,0.008345929484528,0.008077591840971,0.00854100974567,0.010183418237779,0.002116896413526,0.001718037821009,0.002105186596683,0.0074069446025,0,0,0,0,0,0,0,0
Palmitate_16,0.007967339049862,0.008427955456915,0.008520645025508,0.030021385156446,0.027869138650136,0.027152967783095,0.026179465763794,0.029532515939893,0.010556261985105,0.008683805235418,0.007948348835106,0.024131390715192,0,0,0,0.009084350487497,0.009104106770677,0.010347116932962,0.009254237368601,0.019091667693449
Stearate_0,0.449006857725542,0.459637705074488,0.454325947927429,0.325892214426478,0.386632307641968,0.40233594002495,0.38799504296597,0.362385432800747,0.527990979255926,0.552238275274203,0.55396200659841,0.433860951057494,1,0.982772511429747,0.985968868135302,0.800104261907555,0.842037784128736,0.87062047444465,0.867871133608079,0.882808973903261
Stearate_1,0.005198110131827,0.002377508561653,0.004299443282312,0,0.003648920665949,0.00306400212582,0.003676961823118,0.001268657869262,0.00735792931651,0.002233798113714,0.002703894124412,0.004320154601855,0,0.017227488570253,0.014031131864698,0.018976746995045,0.091921686886385,0,0.056504610360646,0.023054344128051
Stearate_2,0.114310920245425,0.108937753563142,0.111426259992091,0.084811406741771,0.093969357282684,0.093766636695201,0.092728920920699,0.095655497369237,0.099781010558239,0.088553197997906,0.089889866376028,0.101725125205636,0,0,0,0.016851971092675,0,0.020671637575225,0,0.001273068926849
Stearate_3,0.004588168648152,0.004855001837866,0.004690943783647,0.001306186849626,0.001674579883302,0.000899530242723,0.000880424904371,0,0.00019126953691,0.002331782611126,0.001958429949847,0,0,0,0,0,0,0,0,0
Stearate_4,0.060486174955805,0.05724951423145,0.057963521813685,0.009326535585728,0.005872187922548,0.00568102706828,0.006345260406776,0.006035676513988,0.02655690182141,0.023053237821509,0.022712053792166,0.006724764641038,0,0,0,0,0,0.012788539855424,0,0.012360893762103
Stearate_5,0.006876075115273,0.006217432327163,0.007404414055043,0.002925964721742,0.001687501943448,0.001603044725467,0.001806545212883,0.002296462198472,0.004102309127388,0.003483962255125,0.004452851947321,0.00163016011475,0,0,0,0,0,0,0,0
Stearate_6,0.058511778567864,0.055645022860714,0.0578396875119,0.024617390512245,0.01573995833894,0.016561176289505,0.016522830578114,0.016126227842428,0.039213943325759,0.038016792045079,0.0367390186467,0.016797276580717,0,0,0,0,0,0.013514798284109,0,0.012181640316112
Stearate_7,0.009003384043333,0.008873251715209,0.008910033925997,0.007591927613391,0.006518323775432,0.006885156431258,0.006995225313103,0.006528528653051,0.007501948195202,0.007260072501668,0.007533503372738,0.005853150396827,0,0,0,9.03E-06,0,0,5.21E-06,0
Stearate_8,0.061961918559136,0.059909293939956,0.060450140633978,0.052492313252312,0.04441294016527,0.040741947521687,0.041319387365085,0.04440479274915,0.056160943093224,0.054382802061494,0.053704865015093,0.042165454162577,0,0,0,0.027833739966755,3.75E-07,0.014040950624773,0.015956309246636,0.01636692707334
Stearate_9,0.010759855620398,0.011153065936922,0.010908980497727,0.017986162457443,0.014851238258927,0.015544208906107,0.015354101753899,0.016361725328656,0.010714357110095,0.010993274489805,0.010196037555061,0.013713468049416,0,0,0,0,9.44E-07,0,0,0
Stearate_10,0.064945318155288,0.065041146474366,0.063936860256616,0.094626057163806,0.079358171817914,0.080067039358914,0.081388032525616,0.082593711533008,0.0634021141849,0.065720388477496,0.065683801195226,0.075371467761793,0,0,0,0.046233915462743,0.019717085986377,0.020876128343488,0.015623717006556,0.018154483870351
Stearate_11,0.013068316371438,0.013858404104665,0.012832946105505,0.02742177052568,0.024672114822114,0.024687362411791,0.02576000856977,0.027134620259457,0.013700343563056,0.012572742224938,0.011790412920124,0.020070838027538,0,0,0,0,0,0,0,0
Stearate_12,0.059111619627112,0.062354329549008,0.059988580565105,0.119900499711524,0.109344582272238,0.10736140683773,0.110783401448426,0.113140516640658,0.059955400623114,0.061018116051845,0.058749833984854,0.097498136160033,0,0,0,0.0476766650618,0.019773145567999,0.020697384897483,0.030003263258882,0.020063099477508
Stearate_13,0.010006494295376,0.010051173846456,0.011095799872341,0.027378794785641,0.026164539492408,0.023063527801257,0.023618067697496,0.027593156043555,0.010477278478789,0.009424083060574,0.009488081358476,0.020757319294243,0,0,0,0,0,0.009606312533153,0,0
Stearate_14,0.041825656882109,0.04309765054837,0.043824899078812,0.104618174111416,0.097947246530872,0.096217846782545,0.099042014404584,0.103846088533111,0.043197029857721,0.040949112445018,0.041585611211125,0.086160283085735,0,0,0,0.031977065599582,0.01412990462921,0.017183773441696,0.014035755822535,0.013736568542427
Stearate_15,0.005868821606649,0.006049972479239,0.005664236474477,0.018758824192355,0.017708630325238,0.015815780590826,0.015873779776594,0.017930562348232,0.005582983128539,0.005258119314124,0.004919812219939,0.013112311222491,0,0,0,0,0,0,0,0
Stearate_16,0.019151517985252,0.019482089171811,0.018972442208029,0.060036495204956,0.052625787963261,0.049413625606847,0.053257381560087,0.057486952011594,0.018883956092726,0.017802683655986,0.019383338506416,0.045980182967543,0,0,0,0.010336606856204,0.012419074091766,0,0,0
Stearate_17,0.001153667108288,0.001119621700655,0.001326680743886,0.005075907600955,0.003844371889198,0.00408523518761,0.00403136706838,0.004854908829336,0.001145326956978,0.000973181935053,0.000890269524975,0.003166143292288,0,0,0,0,0,0,0,0
Stearate_18,0.004165344355734,0.004090062076866,0.00413818127142,0.015233374542931,0.01332723900829,0.012205505391482,0.012621245705031,0.01435648247606,0.004083975773513,0.003734377663339,0.003656311701091,0.011092813378025,0,0,0,0,0,0,0,0
