,model,fit_success,uptake,uptake_palmitate,p,mean,p_mean
MTS_Alyona_acly3028_1,C18,True,0.46617130128004053,0.23357367126881842,0.49553705458200015,9.224303775560394,0.5124613208644663
MTS_Alyona_acly3028_2,C18,True,0.4764604129888445,0.22988620241350996,0.5111498887415037,9.348038848715932,0.5193354915953295
MTS_Alyona_acly3028_3,C18,True,0.4716184025759792,0.2321070908565547,0.5031128329372655,9.297700411740001,0.5165389117633334
MTS_Alyona_acly3028_etoh,C18,True,0.3443798417312214,0.1567018623988996,0.6596912975571957,11.832054776098285,0.6573363764499047
MTS_Alyona_renilla_1,C18,True,0.4024088256078528,0.18296731830452895,0.6683583297359647,12.020482425614054,0.6678045792007807
MTS_Alyona_renilla_2,C18,True,0.4169989280361285,0.18528627315330967,0.6670729362198499,11.988744351730139,0.6660413528738967
MTS_Alyona_renilla_3,C18,True,0.4031840094832646,0.18015754234320058,0.6694836274685626,12.021095602317814,0.6678386445732118
MTS_Alyona_renilla_etoh,C18,True,0.3788055336454137,0.17979516055862024,0.672145858814028,12.082029867720482,0.6712238815400268
MTS_Alyona_acly4080_1,C18,True,0.5407529275975668,0.239869010060383,0.5565009912079146,10.032603148814594,0.5573668416008108
MTS_Alyona_acly4080_2,C18,True,0.5633020845681715,0.22304389386199272,0.5594582465906616,10.076706016818964,0.5598170009343869
MTS_Alyona_acly4080_3,C18,True,0.5650966801505694,0.2273848188408838,0.5610872623541576,10.128231618377589,0.5626795343543105
MTS_Alyona_acly4080_etoh,C18,True,0.44727759675856776,0.2075445757904344,0.6612210158228582,11.865922401611519,0.6592179112006399
MTS_Blank_01,C18,True,1.0,0.0,0.0,0.0,0.0
MTS_Blank_02,C18,True,0.9851368395474687,0.1535083981139441,0.5590779730302483,0.0,0.0
MTS_Blank_03,C18,True,0.9878953307141058,0.15388035607398817,0.5589826116995199,0.0,0.0
MTS_Blank_04,C18,True,0.800648697271007,0.08524943333360371,0.6213401416817494,11.399581999284255,0.6333101110713475
MTS_Blank_05,C18,True,0.8542256434270646,0.0828123997350776,0.6653285532692621,12.582971186071038,0.6990539547817244
MTS_Blank_06,C18,True,0.8732080354322675,0.1787057407228574,0.5656586420315558,9.50814686293717,0.5282303812742872
MTS_Blank_07,C18,True,0.8742208716235843,0.04822211597077944,0.6167546476001889,11.113949793294996,0.6174416551830553
MTS_Blank_08,C18,True,0.8870441441017676,0.0412792172241722,0.5478174617871849,9.34792285516584,0.5193290475092134
